node_id,step,time_s,temperature,luminosity,pressure,delta_v,mean_pwr_mw,action,action_label,aoi,energy_mj
m3-11,129,645.24,30.3729,0.2441,999.0005,0,113.98,1,wait,20,0.571
m3-11,130,650.23,30.35,0.7324,999.0403,0,117.74,1,wait,20,0.588
m3-11,131,655.24,30.3521,0.4883,999.074,0,113.9,1,wait,20,0.571
m3-11,132,660.25,30.3646,0.7324,999.0461,0,117.86,1,wait,20,0.59
m3-11,133,665.26,30.3417,0.2441,999.1418,0,113.8,1,wait,20,0.57
m3-11,134,670.25,30.3792,0.7324,999.1042,0,117.9,1,wait,20,0.588
m3-11,135,675.26,30.3646,0.2441,999.0039,0,113.7,1,wait,20,0.57
m3-11,136,680.26,30.3604,0.7324,999.0752,0,118.02,1,wait,20,0.59
m3-11,137,685.27,30.3771,0.4883,999.0286,0,113.65,1,wait,20,0.569
m3-11,138,690.26,30.3792,0.7324,999.0293,0,117.93,1,wait,20,0.588
m3-11,139,695.27,30.3562,0.2441,998.9617,0,113.88,1,wait,20,0.571
m3-11,140,700.28,30.3396,0.7324,999.0547,0,117.85,1,wait,20,0.59
m3-11,141,705.29,30.3479,0.4883,999.0713,0,113.8,1,wait,20,0.57
m3-11,142,710.28,30.3854,0.7324,999.0867,0,117.93,1,wait,20,0.588
m3-11,143,715.28,30.3521,0.2441,998.9272,0,113.72,1,wait,20,0.569
m3-11,144,720.29,30.3521,0.7324,999.1655,0,118.03,1,wait,20,0.591
m3-11,145,725.3,30.4167,0.4883,999.0742,0,113.64,1,wait,20,0.569
m3-11,146,730.29,30.3854,0.7324,999.0444,0,118.09,1,wait,20,0.589
m3-11,147,735.3,30.3792,0.2441,999.063,0,113.56,1,wait,20,0.569
m3-11,148,740.31,30.4,0.7324,999.0425,0,118.19,1,wait,20,0.592
m3-11,149,745.32,30.3833,0.2441,999.1428,0,113.43,1,wait,20,0.568
m3-11,150,750.31,30.4333,0.7324,999.1401,0,118.25,1,wait,20,0.59
m3-11,151,755.31,30.4083,0.4883,999.156,0,113.39,1,wait,20,0.567
m3-11,152,760.32,30.3958,0.7324,998.9546,0,118.34,1,wait,20,0.593
m3-11,153,765.31,30.3812,0.4883,999.1003,0,113.43,1,wait,20,0.566
m3-11,154,770.32,30.3938,0.7324,999.0649,0,118.12,1,wait,20,0.592
m3-11,155,775.33,30.3979,0.4883,999.1094,0,113.56,1,wait,20,0.569
