ts,node_id,rssi,time_s,channel_quality
1777281631.452625,m3-10,-91.0,132.022,0
1777281632.452631,m3-10,-91.0,133.022,0
1777281633.452637,m3-10,-91.0,134.022,0
1777281634.452643,m3-10,-91.0,135.022,0
1777281635.452649,m3-10,-91.0,136.022,0
1777281636.452655,m3-10,-91.0,137.022,0
1777281637.453119,m3-10,-91.0,138.022,0
1777281638.453125,m3-10,-91.0,139.022,0
1777281639.453101,m3-10,-91.0,140.022,0
1777281640.453077,m3-10,-91.0,141.022,0
1777281641.453083,m3-10,-91.0,142.022,0
1777281642.453089,m3-10,-91.0,143.022,0
1777281643.453095,m3-10,-91.0,144.022,0
1777281644.453101,m3-10,-91.0,145.022,0
1777281645.453108,m3-10,-91.0,146.022,0
1777281646.453114,m3-10,-91.0,147.022,0
1777281647.45312,m3-10,-91.0,148.022,0
1777281648.453126,m3-10,-91.0,149.022,0
1777281649.453132,m3-10,-91.0,150.022,0
1777281650.453138,m3-10,-91.0,151.022,0
1777281651.453144,m3-10,-91.0,152.022,0
1777281652.453151,m3-10,-91.0,153.022,0
1777281653.453157,m3-10,-91.0,154.022,0
1777281654.453163,m3-10,-91.0,155.022,0
1777281655.453169,m3-10,-91.0,156.022,0
1777281656.453175,m3-10,-91.0,157.022,0
1777281657.453181,m3-10,-91.0,158.022,0
1777281658.453157,m3-10,-91.0,159.022,0
1777281659.453163,m3-10,-91.0,160.022,0
1777281660.453169,m3-10,-91.0,161.022,0
1777281661.453176,m3-10,-91.0,162.022,0
1777281662.453182,m3-10,-91.0,163.022,0
1777281663.453188,m3-10,-91.0,164.022,0
1777281664.453194,m3-10,-91.0,165.022,0
1777281665.4532,m3-10,-91.0,166.023,0
1777281666.453206,m3-10,-91.0,167.023,0
1777281667.453213,m3-10,-91.0,168.023,0
1777281668.453219,m3-10,-91.0,169.023,0
1777281669.453225,m3-10,-91.0,170.023,0
1777281670.453231,m3-10,-91.0,171.023,0
1777281671.453237,m3-10,-91.0,172.023,0
1777281672.453243,m3-10,-91.0,173.023,0
1777281673.45325,m3-10,-91.0,174.023,0
1777281674.453256,m3-10,-91.0,175.023,0
1777281675.453262,m3-10,-91.0,176.023,0
1777281676.453268,m3-10,-91.0,177.023,0
1777281677.453274,m3-10,-91.0,178.023,0
1777281678.45328,m3-10,-91.0,179.023,0
1777281679.453287,m3-10,-91.0,180.023,0
1777281680.453293,m3-10,-91.0,181.023,0
1777281681.453299,m3-10,-91.0,182.023,0
1777281682.453305,m3-10,-91.0,183.023,0
1777281683.453311,m3-10,-91.0,184.023,0
1777281684.453287,m3-10,-91.0,185.023,0
1777281685.453293,m3-10,-91.0,186.023,0
1777281686.453299,m3-10,-91.0,187.023,0
1777281687.453305,m3-10,-91.0,188.023,0
1777281688.453312,m3-10,-91.0,189.023,0
1777281689.453318,m3-10,-91.0,190.023,0
1777281690.453324,m3-10,-91.0,191.023,0
1777281691.45333,m3-10,-91.0,192.023,0
1777281692.453336,m3-10,-91.0,193.023,0
1777281693.453342,m3-10,-91.0,194.023,0
1777281694.453349,m3-10,-91.0,195.023,0
1777281695.453355,m3-10,-91.0,196.023,0
1777281696.453361,m3-10,-91.0,197.023,0
1777281697.453367,m3-10,-91.0,198.023,0
1777281698.453373,m3-10,-91.0,199.023,0
1777281699.453379,m3-10,-91.0,200.023,0
1777281700.453385,m3-10,-91.0,201.023,0
1777281701.453392,m3-10,-91.0,202.023,0
1777281702.453398,m3-10,-91.0,203.023,0
1777281703.453404,m3-10,-91.0,204.023,0
1777281704.45341,m3-10,-91.0,205.023,0
1777281705.453416,m3-10,-91.0,206.023,0
1777281706.453422,m3-10,-91.0,207.023,0
1777281707.453429,m3-10,-91.0,208.023,0
1777281708.453435,m3-10,-91.0,209.023,0
1777281709.453441,m3-10,-91.0,210.023,0
1777281710.453417,m3-10,-91.0,211.023,0
1777281711.453423,m3-10,-91.0,212.023,0
1777281712.453429,m3-10,-91.0,213.023,0
1777281713.453435,m3-10,-91.0,214.023,0
1777281714.453441,m3-10,-91.0,215.023,0
1777281715.453447,m3-10,-91.0,216.023,0
1777281716.453454,m3-10,-91.0,217.023,0
1777281717.45346,m3-10,-91.0,218.023,0
1777281718.453466,m3-10,-91.0,219.023,0
1777281719.453472,m3-10,-91.0,220.023,0
1777281720.453478,m3-10,-91.0,221.023,0
1777281721.453484,m3-10,-91.0,222.023,0
1777281722.453491,m3-10,-91.0,223.023,0
1777281723.453497,m3-10,-91.0,224.023,0
1777281724.453503,m3-10,-91.0,225.023,0
1777281725.453509,m3-10,-91.0,226.023,0
1777281726.453515,m3-10,-91.0,227.023,0
1777281727.453521,m3-10,-91.0,228.023,0
1777281728.453528,m3-10,-91.0,229.023,0
1777281729.453534,m3-10,-91.0,230.023,0
1777281730.45354,m3-10,-91.0,231.023,0
1777281731.453546,m3-10,-91.0,232.023,0
1777281732.453552,m3-10,-91.0,233.023,0
1777281733.453558,m3-10,-91.0,234.023,0
1777281734.453565,m3-10,-91.0,235.023,0
1777281735.453571,m3-10,-91.0,236.023,0
1777281736.453546,m3-10,-91.0,237.023,0
1777281737.453553,m3-10,-91.0,238.023,0
1777281738.453559,m3-10,-91.0,239.023,0
1777281739.453565,m3-10,-91.0,240.023,0
1777281740.453571,m3-10,-91.0,241.023,0
1777281741.453577,m3-10,-91.0,242.023,0
1777281742.453583,m3-10,-91.0,243.023,0
1777281743.45359,m3-10,-91.0,244.023,0
1777281744.453596,m3-10,-91.0,245.023,0
1777281745.453602,m3-10,-91.0,246.023,0
1777281746.453608,m3-10,-91.0,247.023,0
1777281747.453614,m3-10,-91.0,248.023,0
1777281748.45362,m3-10,-91.0,249.023,0
1777281749.453626,m3-10,-91.0,250.023,0
1777281750.453633,m3-10,-91.0,251.023,0
1777281751.453639,m3-10,-91.0,252.023,0
1777281752.453645,m3-10,-91.0,253.023,0
1777281753.453651,m3-10,-91.0,254.023,0
1777281754.453657,m3-10,-91.0,255.023,0
1777281755.453663,m3-10,-91.0,256.023,0
1777281756.45367,m3-10,-91.0,257.023,0
1777281757.453676,m3-10,-91.0,258.023,0
1777281758.453682,m3-10,-91.0,259.023,0
1777281759.453688,m3-10,-91.0,260.023,0
1777281760.453694,m3-10,-91.0,261.023,0
1777281761.4537,m3-10,-91.0,262.023,0
1777281762.453707,m3-10,-91.0,263.023,0
1777281763.453682,m3-10,-91.0,264.023,0
1777281764.453688,m3-10,-91.0,265.023,0
1777281765.453695,m3-10,-91.0,266.023,0
1777281766.453701,m3-10,-91.0,267.023,0
1777281767.453707,m3-10,-91.0,268.023,0
1777281768.453713,m3-10,-91.0,269.023,0
1777281769.453719,m3-10,-91.0,270.023,0
1777281770.453725,m3-10,-91.0,271.023,0
1777281771.453732,m3-10,-91.0,272.023,0
1777281772.453738,m3-10,-91.0,273.023,0
1777281773.453744,m3-10,-91.0,274.023,0
1777281774.45375,m3-10,-91.0,275.023,0
1777281775.453756,m3-10,-91.0,276.023,0
1777281776.453762,m3-10,-91.0,277.023,0
1777281777.453769,m3-10,-91.0,278.023,0
1777281778.453775,m3-10,-91.0,279.023,0
1777281779.453781,m3-10,-91.0,280.023,0
1777281780.453787,m3-10,-91.0,281.023,0
1777281781.453793,m3-10,-91.0,282.023,0
1777281782.453799,m3-10,-91.0,283.023,0
1777281783.453806,m3-10,-91.0,284.023,0
1777281784.453812,m3-10,-91.0,285.023,0
1777281785.453818,m3-10,-91.0,286.023,0
1777281786.453824,m3-10,-91.0,287.023,0
1777281787.45383,m3-10,-91.0,288.023,0
1777281788.453836,m3-10,-91.0,289.023,0
1777281789.453812,m3-10,-91.0,290.023,0
1777281790.453818,m3-10,-91.0,291.023,0
1777281791.453824,m3-10,-91.0,292.023,0
1777281792.453831,m3-10,-91.0,293.023,0
1777281793.453837,m3-10,-91.0,294.023,0
1777281794.453843,m3-10,-91.0,295.023,0
1777281795.453849,m3-10,-91.0,296.023,0
1777281796.453855,m3-10,-91.0,297.023,0
1777281797.453861,m3-10,-91.0,298.023,0
1777281798.453867,m3-10,-91.0,299.023,0
1777281799.453874,m3-10,-91.0,300.023,0
1777281800.45388,m3-10,-91.0,301.023,0
1777281801.453886,m3-10,-91.0,302.023,0
1777281802.453892,m3-10,-91.0,303.023,0
1777281803.453898,m3-10,-91.0,304.023,0
1777281804.453904,m3-10,-91.0,305.023,0
1777281805.453911,m3-10,-91.0,306.023,0
1777281806.453917,m3-10,-91.0,307.023,0
1777281807.453923,m3-10,-91.0,308.023,0
1777281808.453929,m3-10,-91.0,309.023,0
1777281809.453935,m3-10,-91.0,310.023,0
1777281810.453941,m3-10,-91.0,311.023,0
1777281811.453948,m3-10,-91.0,312.023,0
1777281812.453954,m3-10,-91.0,313.023,0
1777281813.45396,m3-10,-91.0,314.023,0
1777281814.453966,m3-10,-91.0,315.023,0
1777281815.453942,m3-10,-91.0,316.023,0
1777281816.453948,m3-10,-91.0,317.023,0
1777281817.453954,m3-10,-91.0,318.023,0
1777281818.45396,m3-10,-91.0,319.023,0
1777281819.453966,m3-10,-91.0,320.023,0
1777281820.453973,m3-10,-91.0,321.023,0
1777281821.453979,m3-10,-91.0,322.023,0
1777281822.453985,m3-10,-91.0,323.023,0
1777281823.453991,m3-10,-91.0,324.023,0
1777281824.453997,m3-10,-91.0,325.023,0
1777281825.454003,m3-10,-91.0,326.023,0
1777281826.45401,m3-10,-91.0,327.023,0
1777281827.454016,m3-10,-91.0,328.023,0
1777281828.454022,m3-10,-91.0,329.023,0
1777281829.454028,m3-10,-91.0,330.023,0
1777281830.454034,m3-10,-91.0,331.023,0
1777281831.45404,m3-10,-91.0,332.023,0
1777281832.454047,m3-10,-91.0,333.023,0
1777281833.454053,m3-10,-91.0,334.023,0
1777281834.454059,m3-10,-91.0,335.023,0
1777281835.454065,m3-10,-91.0,336.023,0
1777281836.454071,m3-10,-91.0,337.023,0
1777281837.454077,m3-10,-91.0,338.023,0
1777281838.454084,m3-10,-91.0,339.023,0
1777281839.45409,m3-10,-91.0,340.023,0
1777281840.454096,m3-10,-91.0,341.023,0
1777281841.454072,m3-10,-91.0,342.023,0
1777281842.454078,m3-10,-91.0,343.023,0
1777281843.454084,m3-10,-91.0,344.023,0
1777281844.45409,m3-10,-91.0,345.023,0
1777281845.454096,m3-10,-91.0,346.023,0
1777281846.454102,m3-10,-91.0,347.023,0
1777281847.454108,m3-10,-91.0,348.023,0
1777281848.454115,m3-10,-91.0,349.023,0
1777281849.454121,m3-10,-91.0,350.023,0
1777281850.454127,m3-10,-91.0,351.023,0
1777281851.454133,m3-10,-91.0,352.023,0
