timestamp,node_id,temperature,luminosity,pressure
1776012772.637868,m3-13,29.1687,0.4883,999.3701
1776012772.642273,m3-10,30.4083,0.4883,998.5244
1776012772.648275,m3-12,30.4167,0.4883,998.0623
1776012777.640192,m3-12,30.4187,0.2441,998.1169
1776012777.641614,m3-11,30.325,0.4883,999.0632
1776012777.642693,m3-14,30.3167,0.2441,997.8679
1776012777.645543,m3-13,29.2,0.2441,999.1968
1776012777.650005,m3-10,30.4438,0.2441,998.3723
1776012782.641702,m3-10,30.4104,0.4883,998.5288
1776012782.647772,m3-12,30.3979,0.4883,998.1392
1776012782.649441,m3-11,30.3188,0.7324,999.0461
1776012782.650226,m3-14,30.3021,0.4883,997.8621
1776012782.653385,m3-13,29.1417,0.4883,999.2329
1776012787.64502,m3-13,29.1562,0.2441,999.2146
1776012787.649279,m3-10,30.4688,0.2441,998.5425
1776012787.655273,m3-12,30.3958,0.2441,998.2749
1776012787.657045,m3-11,30.3271,0.4883,999.2234
1776012787.657779,m3-14,30.3229,0.2441,997.843
1776012792.648786,m3-11,30.3354,0.7324,999.1238
1776012792.649523,m3-14,30.2979,0.4883,997.8262
1776012792.652689,m3-13,29.1687,0.4883,999.3638
1776012792.656789,m3-10,30.4229,0.4883,998.4519
1776012792.66285,m3-12,30.4688,0.4883,998.1716
1776012797.654608,m3-12,30.425,0.2441,998.2688
1776012797.656424,m3-11,30.3417,0.4883,999.0833
1776012797.65692,m3-14,30.3104,0.2441,997.8181
1776012797.66029,m3-13,29.1938,0.2441,999.3127
1776012797.664401,m3-10,30.4417,0.2441,998.5688
1776012802.656131,m3-10,30.4812,0.4883,998.3569
1776012802.662257,m3-12,30.45,0.4883,998.0295
1776012802.664003,m3-11,30.3146,0.7324,999.071
1776012802.664757,m3-14,30.2917,0.4883,997.8735
1776012802.668018,m3-13,29.1687,0.4883,999.3479
1776012807.659758,m3-13,29.1917,0.2441,999.3242
1776012807.663656,m3-10,30.4312,0.2441,998.4507
1776012807.669818,m3-12,30.4167,0.2441,998.1084
1776012807.671752,m3-11,30.3229,0.4883,999.2039
1776012807.672234,m3-14,30.3313,0.2441,997.8584
1776012812.663499,m3-11,30.3458,0.7324,999.0007
1776012812.664083,m3-14,30.3271,0.4883,997.9207
1776012812.667351,m3-13,29.2,0.4883,999.2314
1776012812.671315,m3-10,30.4396,0.4883,998.3569
1776012812.677502,m3-12,30.4333,0.4883,998.1028
1776012817.669128,m3-12,30.4104,0.2441,998.1431
1776012817.671073,m3-11,30.3,0.4883,999.0535
1776012817.671748,m3-14,30.3208,0.2441,997.9221
1776012817.675011,m3-13,29.1438,0.2441,999.2649
1776012817.678915,m3-10,30.4271,0.2441,998.3682
1776012822.670666,m3-10,30.4083,0.4883,998.5664
1776012822.676745,m3-12,30.4458,0.4883,998.1677
1776012822.678768,m3-11,30.3083,0.7324,999.156
1776012822.679258,m3-14,30.3438,0.4883,997.8899
1776012822.68263,m3-13,29.1562,0.4883,999.3115
1776012827.67432,m3-13,29.1917,0.2441,999.3755
1776012827.678131,m3-10,30.4354,0.2441,998.4424
1776012827.684303,m3-12,30.4625,0.2441,998.1816
1776012827.686368,m3-11,30.3333,0.4883,998.979
1776012827.686884,m3-14,30.3188,0.2441,997.9534
1776012832.678199,m3-11,30.2896,0.7324,999.0386
1776012832.678778,m3-14,30.3438,0.4883,997.9492
1776012832.682147,m3-13,29.1917,0.4883,999.1018
1776012832.685749,m3-10,30.4563,0.4883,998.5915
1776012832.691911,m3-12,30.4187,0.4883,998.2234
1776012837.683653,m3-12,30.4458,0.2441,998.2759
