battery_state,aoi_state,channel_quality,action,action_code,Q_energy,Q_freshness,exp_id
high(80+),fresh(≤1),good,sleep,0,-1.5183,-0.4976,437035
high(80+),ok(2-4),poor,sleep,0,0.0,0.0,437035
high(80+),ok(2-4),medium,sleep,0,0.0,0.0,437035
high(80+),ok(2-4),good,sleep,0,-1.4994,-0.5979,437035
high(80+),aging(5-8),poor,sleep,0,0.0,0.0,437035
high(80+),aging(5-8),medium,sleep,0,0.0,0.0,437035
high(80+),aging(5-8),good,wait,1,-1.6541,-0.7181,437035
high(80+),stale(9-12),poor,sleep,0,0.0,0.0,437035
high(80+),stale(9-12),medium,sleep,0,0.0,0.0,437035
high(80+),stale(9-12),good,wait,1,-1.547,-1.006,437035
high(80+),old(>12),poor,sleep,0,0.0,0.0,437035
high(80+),old(>12),medium,sleep,0,0.0,0.0,437035
high(80+),old(>12),good,wait,1,-1.5902,-1.1319,437035
